Name,Description,SKU,Product Code,Barcode,Category,Brand,Unit,Weight,Dimensions,Color,Size,Current Stock,Minimum Stock,Maximum Stock,Cost Price Amount,Cost Price Currency,Selling Price Amount,Selling Price Currency,Discount Price,Discount Start Date,Discount End Date,Supplier Name,Is Perishable,Expiry Date
Organic Honey,Raw organic honey from local beekeepers,OH012,OH-RAW-012,123456789012,Food & Beverage,BeeSweet,KILOGRAMS,0.5,12x8x8,Golden,500g,60,10,120,8.50,USD,16.99,USD,13.99,2024-01-01,2024-12-31,HoneySupplier Ltd,true,2025-12-31
Ceramic Coffee Mug,Handcrafted ceramic coffee mug with handle,CCM013,CCM-HAND-013,123456789013,Home & Garden,PotteryCraft,PIECES,0.3,10x8x8,White,Standard,95,20,200,6.00,USD,12.99,USD,9.99,2024-01-01,2024-12-31,HomeSupplier Co,false,
USB-C Cable,Fast charging USB-C cable with braided sleeve,USBC014,USBC-FAST-014,123456789014,Electronics,CablePro,PIECES,0.1,15x0.5,Black,1m,200,30,400,3.50,USD,7.99,USD,5.99,2024-01-01,2024-12-31,TechSupplier Inc,false,
Fresh Eggs,Farm fresh organic eggs from free-range chickens,FE015,FE-ORG-015,123456789015,Food & Beverage,FarmFresh,PIECES,0.06,6x5x5,White,Medium,300,50,600,0.40,USD,0.79,USD,0.59,2024-01-01,2024-02-15,EggSupplier Ltd,true,2024-02-28
Desk Organizer,Multi-compartment desk organizer for office supplies,DO016,DO-MULTI-016,123456789016,Home & Garden,OfficePro,PIECES,0.5,25x15x8,Black,Standard,65,10,130,18.00,USD,34.99,USD,27.99,2024-01-01,2024-12-31,HomeSupplier Co,false,
Wireless Charging Pad,Qi-compatible wireless charging pad for smartphones,WC017,WC-QI-017,123456789017,Electronics,ChargeTech,PIECES,0.2,12x12x1,White,Standard,75,12,150,22.00,USD,39.99,USD,32.99,2024-01-01,2024-12-31,TechSupplier Inc,false,
Organic Bananas,Fresh organic bananas from sustainable farms,OB018,OB-ORG-018,123456789018,Food & Beverage,FruitFresh,KILOGRAMS,1.0,20x15x10,Yellow,1kg,400,80,800,2.20,USD,4.49,USD,3.49,2024-01-01,2024-01-15,FruitSupplier Ltd,true,2024-01-20
Stainless Steel Pan,Professional grade stainless steel frying pan,SSP019,SSP-PRO-019,123456789019,Home & Garden,CookPro,PIECES,1.2,30x25x5,Silver,10-inch,55,8,110,45.00,USD,79.99,USD,64.99,2024-01-01,2024-12-31,HomeSupplier Co,false,
Bluetooth Earbuds,True wireless Bluetooth earbuds with charging case,BE020,BE-TRUE-020,123456789020,Electronics,SoundWave,PIECES,0.1,8x6x3,Black,Universal,90,15,180,28.00,USD,49.99,USD,39.99,2024-01-01,2024-12-31,TechSupplier Inc,false,
Laptop Stand,Adjustable aluminum laptop stand for ergonomic setup,LS021,LS-ADJ-021,123456789021,Electronics,ErgoTech,PIECES,0.8,30x20x15,Silver,Adjustable,40,8,80,25.00,USD,44.99,USD,34.99,2024-01-01,2024-12-31,TechSupplier Inc,false,
Organic Yogurt,Natural organic yogurt with live cultures,OY022,OY-NAT-022,123456789022,Food & Beverage,DairyFresh,LITERS,1.0,8x8x12,White,500ml,180,40,360,3.20,USD,6.49,USD,4.99,2024-01-01,2024-02-10,DairySupplier Ltd,true,2024-02-20
Kitchen Knife Set,Professional 8-piece kitchen knife set with block,KS023,KS-PRO-023,123456789023,Home & Garden,ChefPro,PIECES,2.5,40x25x15,Stainless Steel,8-piece,30,5,60,85.00,USD,149.99,USD,119.99,2024-01-01,2024-12-31,HomeSupplier Co,false,
Webcam,HD webcam with built-in microphone for video calls,WC024,WC-HD-024,123456789024,Electronics,VideoTech,PIECES,0.3,8x6x3,Black,1080p,70,12,140,35.00,USD,59.99,USD,44.99,2024-01-01,2024-12-31,TechSupplier Inc,false,
Fresh Tomatoes,Organic vine-ripened tomatoes from local farms,FT025,FT-ORG-025,123456789025,Food & Beverage,VeggieFresh,KILOGRAMS,1.0,25x20x15,Red,1kg,250,50,500,3.50,USD,6.99,USD,5.49,2024-01-01,2024-01-25,VeggieSupplier Ltd,true,2024-01-30
Storage Bins,Collapsible fabric storage bins for organization,SB026,SB-COL-026,123456789026,Home & Garden,OrganizePro,PIECES,0.4,30x20x20,Gray,Medium,110,20,220,12.00,USD,24.99,USD,19.99,2024-01-01,2024-12-31,HomeSupplier Co,false,
Power Bank,Portable 20000mAh power bank with fast charging,PB027,PB-20K-027,123456789027,Electronics,PowerTech,PIECES,0.4,15x8x2,Black,20000mAh,55,10,110,28.00,USD,49.99,USD,39.99,2024-01-01,2024-12-31,TechSupplier Inc,false,
Organic Apples,Fresh organic apples from sustainable orchards,OA028,OA-ORG-028,123456789028,Food & Beverage,FruitFresh,KILOGRAMS,1.0,20x15x10,Red,1kg,320,60,640,2.80,USD,5.49,USD,4.29,2024-01-01,2024-02-10,FruitSupplier Ltd,true,2024-02-20
Coffee Maker,Programmable coffee maker with thermal carafe,CM029,CM-PROG-029,123456789029,Home & Garden,BrewMaster,PIECES,2.8,35x25x30,Black,12-cup,25,5,50,65.00,USD,119.99,USD,99.99,2024-01-01,2024-12-31,HomeSupplier Co,false,
Gaming Headset,Surround sound gaming headset with noise cancellation,GH030,GH-SUR-030,123456789030,Electronics,GamerPro,PIECES,0.4,20x18x8,Black,Universal,45,8,90,42.00,USD,79.99,USD,64.99,2024-01-01,2024-12-31,TechSupplier Inc,false,
Organic Spinach,Fresh organic baby spinach leaves,OS031,OS-BABY-031,123456789031,Food & Beverage,VeggieFresh,KILOGRAMS,0.5,20x15x8,Green,250g,180,35,360,4.20,USD,7.99,USD,6.29,2024-01-01,2024-01-18,VeggieSupplier Ltd,true,2024-01-25
Bluetooth Keyboard,Wireless Bluetooth keyboard with scissor switches,BK032,BK-WIRE-032,123456789032,Electronics,KeyTech,PIECES,0.6,35x15x2,Black,Standard,65,10,130,28.00,USD,49.99,USD,39.99,2024-01-01,2024-12-31,TechSupplier Inc,false,
Kitchen Scale,Digital kitchen scale with tare function,KS033,KS-DIG-033,123456789033,Home & Garden,WeighPro,PIECES,0.3,20x15x5,White,5kg,85,15,170,18.00,USD,32.99,USD,26.99,2024-01-01,2024-12-31,HomeSupplier Co,false,
Fresh Strawberries,Organic strawberries from local farms,FS034,FS-ORG-034,123456789034,Food & Beverage,BerryFresh,KILOGRAMS,0.5,18x12x8,Red,500g,120,25,240,6.50,USD,11.99,USD,9.49,2024-01-01,2024-01-15,BerrySupplier Ltd,true,2024-01-20
USB Hub,7-port USB 3.0 hub with power adapter,UH035,UH-7P-035,123456789035,Electronics,PortTech,PIECES,0.2,12x8x2,Black,7-port,95,18,190,15.00,USD,27.99,USD,21.99,2024-01-01,2024-12-31,TechSupplier Inc,false,
Bath Towel Set,Soft cotton bath towel set with matching washcloths,BTS036,BTS-COT-036,123456789036,Home & Garden,SoftTouch,PIECES,0.8,70x40x2,White,Standard,75,12,150,22.00,USD,39.99,USD,31.99,2024-01-01,2024-12-31,HomeSupplier Co,false,
Organic Chicken Breast,Boneless skinless organic chicken breast,FOC037,FOC-BON-037,123456789037,Food & Beverage,MeatFresh,KILOGRAMS,1.0,25x20x10,Pink,1kg,90,20,180,8.50,USD,15.99,USD,12.99,2024-01-01,2024-01-10,MeatSupplier Ltd,true,2024-01-15
Monitor Stand,Adjustable monitor stand for dual screens,MS038,MS-ADJ-038,123456789038,Electronics,ErgoTech,PIECES,1.5,50x25x20,Black,Dual Monitor,35,6,70,45.00,USD,79.99,USD,64.99,2024-01-01,2024-12-31,TechSupplier Inc,false,
Fresh Avocados,Ripe organic avocados from sustainable farms,FA039,FA-ORG-039,123456789039,Food & Beverage,FruitFresh,KILOGRAMS,0.8,20x15x8,Green,1kg,200,40,400,4.80,USD,8.99,USD,6.99,2024-01-01,2024-01-20,FruitSupplier Ltd,true,2024-01-25
Bluetooth Speaker,Portable Bluetooth speaker with 360-degree sound,BS040,BS-360-040,123456789040,Electronics,SoundWave,PIECES,0.5,15x15x15,Blue,Portable,60,10,120,32.00,USD,59.99,USD,47.99,2024-01-01,2024-12-31,TechSupplier Inc,false,
Kitchen Timer,Digital kitchen timer with magnetic back,KT041,KT-DIG-041,123456789041,Home & Garden,TimePro,PIECES,0.1,8x6x2,White,Digital,110,20,220,8.00,USD,14.99,USD,11.99,2024-01-01,2024-12-31,HomeSupplier Co,false,
Organic Milk Chocolate,Organic dark chocolate with 70% cocoa,OMC042,OMC-DARK-042,123456789042,Food & Beverage,ChocoMaster,KILOGRAMS,0.3,15x10x5,Brown,200g,150,30,300,12.50,USD,22.99,USD,18.99,2024-01-01,2024-12-31,ChocoSupplier Ltd,true,2024-12-31
Wireless Router,WiFi 6 wireless router with mesh capability,WR043,WR-WIFI6-043,123456789043,Electronics,NetTech,PIECES,0.8,20x15x5,Black,WiFi 6,25,5,50,65.00,USD,119.99,USD,99.99,2024-01-01,2024-12-31,TechSupplier Inc,false,
Fresh Broccoli,Organic broccoli crowns from local farms,FB044,FB-ORG-044,123456789044,Food & Beverage,VeggieFresh,KILOGRAMS,0.6,20x15x10,Green,1kg,160,30,320,3.80,USD,6.99,USD,5.49,2024-01-01,2024-01-25,VeggieSupplier Ltd,true,2024-01-30
Desk Lamp,Adjustable desk lamp with LED bulb,DL045,DL-ADJ-045,123456789045,Home & Garden,LightPro,PIECES,0.9,40x25x20,Black,Adjustable,55,10,110,28.00,USD,49.99,USD,39.99,2024-01-01,2024-12-31,HomeSupplier Co,false,
Bluetooth Mouse,Ergonomic Bluetooth mouse with silent clicks,BM046,BM-ERG-046,123456789046,Electronics,PrecisionTech,PIECES,0.2,12x7x4,Black,Ergonomic,80,15,160,18.00,USD,32.99,USD,26.99,2024-01-01,2024-12-31,TechSupplier Inc,false,
Organic Eggs,Farm fresh organic eggs from free-range chickens,OE047,OE-ORG-047,123456789047,Food & Beverage,FarmFresh,PIECES,0.06,6x5x5,Brown,Large,280,50,560,0.60,USD,1.19,USD,0.89,2024-01-01,2024-02-15,EggSupplier Ltd,true,2024-02-28
USB Flash Drive,64GB USB 3.0 flash drive with encryption,UF048,UF-64G-048,123456789048,Electronics,DataTech,PIECES,0.05,8x2x1,Black,64GB,120,20,240,12.00,USD,22.99,USD,18.99,2024-01-01,2024-12-31,TechSupplier Inc,false,
Fresh Bell Peppers,Organic bell peppers in assorted colors,FP049,FP-ORG-049,123456789049,Food & Beverage,VeggieFresh,KILOGRAMS,0.7,20x15x10,Assorted,1kg,140,25,280,4.20,USD,7.49,USD,5.99,2024-01-01,2024-01-30,VeggieSupplier Ltd,true,2024-02-05
Kitchen Utensil Set,15-piece kitchen utensil set with holder,KUS050,KUS-15P-050,123456789050,Home & Garden,ChefPro,PIECES,1.8,35x20x15,Stainless Steel,15-piece,40,8,80,35.00,USD,64.99,USD,52.99,2024-01-01,2024-12-31,HomeSupplier Co,false,
Wireless Earbuds,Active noise canceling wireless earbuds,WE051,WE-ANC-051,123456789051,Electronics,SoundWave,PIECES,0.12,8x6x3,Black,Universal,70,12,140,45.00,USD,79.99,USD,64.99,2024-01-01,2024-12-31,TechSupplier Inc,false,
Fresh Carrots,Organic baby carrots from local farms,FC052,FC-ORG-052,123456789052,Food & Beverage,VeggieFresh,KILOGRAMS,0.5,20x15x8,Orange,1kg,220,40,440,2.80,USD,5.49,USD,4.29,2024-01-01,2024-01-30,VeggieSupplier Ltd,true,2024-02-05
Laptop Cooling Pad,USB-powered laptop cooling pad with dual fans,LCP053,LCP-DUAL-053,123456789053,Electronics,CoolTech,PIECES,0.6,35x25x3,Black,15-inch,45,8,90,22.00,USD,39.99,USD,31.99,2024-01-01,2024-12-31,TechSupplier Inc,false,
Organic Greek Yogurt,Natural organic Greek yogurt with honey,OGY054,OGY-HON-054,123456789054,Food & Beverage,DairyFresh,LITERS,1.0,8x8x12,White,500ml,160,30,320,4.20,USD,7.99,USD,6.29,2024-01-01,2024-02-15,DairySupplier Ltd,true,2024-02-25
Kitchen Mixer,Stand mixer with 5-quart bowl and attachments,KM055,KM-5QT-055,123456789055,Home & Garden,MixPro,PIECES,3.2,40x30x25,Red,5-quart,20,4,40,120.00,USD,199.99,USD,169.99,2024-01-01,2024-12-31,HomeSupplier Co,false,
Bluetooth Headphones,Over-ear Bluetooth headphones with long battery life,BH056,BH-OVER-056,123456789056,Electronics,AudioTech,PIECES,0.4,20x18x8,Blue,Over-ear,55,10,110,38.00,USD,69.99,USD,55.99,2024-01-01,2024-12-31,TechSupplier Inc,false,
Fresh Oranges,Organic navel oranges from sustainable farms,FO057,FO-ORG-057,123456789057,Food & Beverage,FruitFresh,KILOGRAMS,1.0,20x15x10,Orange,1kg,280,50,560,3.20,USD,5.99,USD,4.69,2024-01-01,2024-02-15,FruitSupplier Ltd,true,2024-02-25
USB Microphone,USB condenser microphone for streaming and recording,UM058,UM-COND-058,123456789058,Electronics,AudioTech,PIECES,0.3,20x8x8,Black,Cardioid,35,6,70,55.00,USD,99.99,USD,79.99,2024-01-01,2024-12-31,TechSupplier Inc,false,
Kitchen Knife,Professional chef's knife with wooden handle,KK059,KK-CHEF-059,123456789059,Home & Garden,ChefPro,PIECES,0.8,30x5x2,Stainless Steel,8-inch,65,10,130,45.00,USD,79.99,USD,64.99,2024-01-01,2024-12-31,HomeSupplier Co,false,
Organic Almonds,Raw organic almonds from California,OA060,OA-RAW-060,123456789060,Food & Beverage,NutMaster,KILOGRAMS,0.4,15x10x8,Brown,500g,120,20,240,18.50,USD,32.99,USD,26.99,2024-01-01,2024-12-31,NutSupplier Ltd,true,2024-12-31
Wireless Charger,Fast wireless charging pad for multiple devices,WC061,WC-FAST-061,123456789061,Electronics,ChargeTech,PIECES,0.3,15x15x2,White,15W,80,15,160,28.00,USD,49.99,USD,39.99,2024-01-01,2024-12-31,TechSupplier Inc,false,
Fresh Cucumbers,Organic English cucumbers from local farms,FC062,FC-ENG-062,123456789062,Food & Beverage,VeggieFresh,KILOGRAMS,0.6,20x15x8,Green,1kg,180,35,360,2.50,USD,4.99,USD,3.89,2024-01-01,2024-01-25,VeggieSupplier Ltd,true,2024-01-30
Desk Chair,Ergonomic office chair with lumbar support,DC063,DC-ERG-063,123456789063,Home & Garden,ErgoPro,PIECES,12.0,60x60x120,Black,Adjustable,15,3,30,180.00,USD,299.99,USD,249.99,2024-01-01,2024-12-31,HomeSupplier Co,false,
Bluetooth Speaker,Waterproof Bluetooth speaker with subwoofer,BS064,BS-SUB-064,123456789064,Electronics,SoundWave,PIECES,0.8,20x15x15,Black,Portable,40,8,80,42.00,USD,74.99,USD,59.99,2024-01-01,2024-12-31,TechSupplier Inc,false,
Organic Quinoa,Organic white quinoa from sustainable farms,OQ065,OQ-WHT-065,123456789065,Food & Beverage,GrainMaster,KILOGRAMS,0.3,15x10x8,White,500g,90,15,180,8.80,USD,15.99,USD,12.99,2024-01-01,2024-12-31,GrainSupplier Ltd,true,2024-12-31
Laptop Sleeve,Water-resistant laptop sleeve with padding,LS066,LS-WAT-066,123456789066,Electronics,ProtectTech,PIECES,0.2,40x30x5,Black,15-inch,75,12,150,18.00,USD,32.99,USD,26.99,2024-01-01,2024-12-31,TechSupplier Inc,false,
Fresh Mushrooms,Organic white button mushrooms,FM067,FM-ORG-067,123456789067,Food & Beverage,VeggieFresh,KILOGRAMS,0.4,20x15x8,White,500g,140,25,280,5.20,USD,9.49,USD,7.49,2024-01-01,2024-01-20,VeggieSupplier Ltd,true,2024-01-25
Kitchen Sink,Stainless steel kitchen sink with drain board,KS068,KS-STL-068,123456789068,Home & Garden,SinkPro,PIECES,8.5,80x50x25,Stainless Steel,Double Bowl,8,2,16,280.00,USD,449.99,USD,379.99,2024-01-01,2024-12-31,HomeSupplier Co,false,
Bluetooth Mouse,Gaming Bluetooth mouse with RGB lighting,BM069,BM-GAM-069,123456789069,Electronics,GamerPro,PIECES,0.15,12x7x4,Black,Gaming,50,8,100,32.00,USD,59.99,USD,47.99,2024-01-01,2024-12-31,TechSupplier Inc,false,
Organic Sweet Potatoes,Organic sweet potatoes from local farms,OSP070,OSP-ORG-070,123456789070,Food & Beverage,VeggieFresh,KILOGRAMS,0.8,20x15x10,Orange,1kg,160,30,320,3.80,USD,6.99,USD,5.49,2024-01-01,2024-02-10,VeggieSupplier Ltd,true,2024-02-20
USB-C Hub,USB-C hub with HDMI and SD card reader,USBC071,USBC-HUB-071,123456789071,Electronics,PortTech,PIECES,0.3,15x8x2,Silver,7-in-1,60,10,120,35.00,USD,59.99,USD,47.99,2024-01-01,2024-12-31,TechSupplier Inc,false,
Kitchen Faucet,Pull-down kitchen faucet with touch control,KF072,KF-PULL-072,123456789072,Home & Garden,FaucetPro,PIECES,4.2,45x25x20,Chrome,Pull-down,12,3,25,180.00,USD,299.99,USD,249.99,2024-01-01,2024-12-31,HomeSupplier Co,false,
Fresh Blueberries,Organic blueberries from local farms,FB073,FB-ORG-073,123456789073,Food & Beverage,BerryFresh,KILOGRAMS,0.4,18x12x8,Blue,500g,100,20,200,7.80,USD,13.99,USD,10.99,2024-01-01,2024-01-15,BerrySupplier Ltd,true,2024-01-20
Wireless Keyboard,Mechanical wireless keyboard with RGB backlight,WK074,WK-MECH-074,123456789074,Electronics,KeyTech,PIECES,0.9,35x15x3,Black,Mechanical,45,8,90,65.00,USD,119.99,USD,99.99,2024-01-01,2024-12-31,TechSupplier Inc,false,
Organic Olive Oil,Extra virgin organic olive oil from Italy,OO075,OO-EV-075,123456789075,Food & Beverage,OilMaster,LITERS,0.9,12x8x8,Green,500ml,80,15,160,22.50,USD,39.99,USD,31.99,2024-01-01,2024-12-31,OilSupplier Ltd,true,2025-12-31
Laptop Stand,Adjustable aluminum laptop stand with cooling,LS076,LS-AL-076,123456789076,Electronics,ErgoTech,PIECES,0.6,30x20x15,Silver,Adjustable,55,10,110,28.00,USD,49.99,USD,39.99,2024-01-01,2024-12-31,TechSupplier Inc,false,
Fresh Asparagus,Organic green asparagus from local farms,FA077,FA-ORG-077,123456789077,Food & Beverage,VeggieFresh,KILOGRAMS,0.5,25x15x8,Green,500g,120,25,240,6.50,USD,11.99,USD,9.49,2024-01-01,2024-01-25,VeggieSupplier Ltd,true,2024-01-30
Bluetooth Headphones,On-ear Bluetooth headphones with foldable design,BH078,BH-ON-078,123456789078,Electronics,AudioTech,PIECES,0.3,18x16x6,Black,Foldable,65,12,130,42.00,USD,74.99,USD,59.99,2024-01-01,2024-12-31,TechSupplier Inc,false,
Kitchen Island,Portable kitchen island with storage,KI079,KI-PORT-079,123456789079,Home & Garden,KitchenPro,PIECES,25.0,120x60x90,White,Portable,5,1,10,450.00,USD,699.99,USD,599.99,2024-01-01,2024-12-31,HomeSupplier Co,false,
Organic Salmon,Wild-caught organic salmon fillets,FOS080,FOS-WILD-080,123456789080,Food & Beverage,FishFresh,KILOGRAMS,1.0,25x20x10,Pink,1kg,45,10,90,28.50,USD,49.99,USD,39.99,2024-01-01,2024-01-08,FishSupplier Ltd,true,2024-01-15
Wireless Router,WiFi 6E wireless router with advanced security,WR081,WR-WIFI6E-081,123456789081,Electronics,NetTech,PIECES,1.2,25x20x8,Black,WiFi 6E,20,4,40,95.00,USD,169.99,USD,139.99,2024-01-01,2024-12-31,TechSupplier Inc,false,
Fresh Spinach,Organic baby spinach from local farms,FS082,FS-ORG-082,123456789082,Food & Beverage,VeggieFresh,KILOGRAMS,0.4,20x15x8,Green,250g,200,40,400,4.50,USD,8.49,USD,6.69,2024-01-01,2024-01-20,VeggieSupplier Ltd,true,2024-01-25
Desk Organizer,Multi-tier desk organizer with phone stand,DO083,DO-MULTI-083,123456789083,Home & Garden,OfficePro,PIECES,0.6,25x18x12,Black,Multi-tier,70,12,140,24.00,USD,42.99,USD,34.99,2024-01-01,2024-12-31,HomeSupplier Co,false,
Bluetooth Speaker,Portable Bluetooth speaker with LED lights,BS084,BS-LED-084,123456789084,Electronics,SoundWave,PIECES,0.7,18x15x15,Black,LED,55,10,110,38.00,USD,64.99,USD,51.99,2024-01-01,2024-12-31,TechSupplier Inc,false,
Organic Avocados,Ripe organic avocados from sustainable farms,OA085,OA-ORG-085,123456789085,Food & Beverage,FruitFresh,KILOGRAMS,0.8,20x15x8,Green,1kg,180,35,360,5.20,USD,9.49,USD,7.49,2024-01-01,2024-01-25,FruitSupplier Ltd,true,2024-01-30
USB Microphone,USB dynamic microphone for podcasting,UM086,UM-DYN-086,123456789086,Electronics,AudioTech,PIECES,0.4,22x8x8,Black,Dynamic,30,5,60,75.00,USD,129.99,USD,104.99,2024-01-01,2024-12-31,TechSupplier Inc,false,
Kitchen Scale,Digital kitchen scale with touch controls,KS087,KS-TOUCH-087,123456789087,Home & Garden,WeighPro,PIECES,0.4,22x18x6,White,Touch,60,10,120,32.00,USD,54.99,USD,43.99,2024-01-01,2024-12-31,HomeSupplier Co,false,
Fresh Kale,Organic curly kale from local farms,FK088,FK-ORG-088,123456789088,Food & Beverage,VeggieFresh,KILOGRAMS,0.5,20x15x8,Green,500g,150,30,300,4.80,USD,8.99,USD,6.99,2024-01-01,2024-01-25,VeggieSupplier Ltd,true,2024-01-30
Wireless Mouse,Ergonomic wireless mouse with thumb rest,WM089,WM-THUMB-089,123456789089,Electronics,PrecisionTech,PIECES,0.25,14x8x4,Black,Thumb Rest,75,12,150,28.00,USD,49.99,USD,39.99,2024-01-01,2024-12-31,TechSupplier Inc,false,
Organic Eggs,Farm fresh organic eggs from free-range chickens,OE090,OE-FREE-090,123456789090,Food & Beverage,FarmFresh,PIECES,0.06,6x5x5,Brown,X-Large,320,60,640,0.75,USD,1.39,USD,1.09,2024-01-01,2024-02-20,EggSupplier Ltd,true,2024-03-01
Laptop Cooling Pad,RGB laptop cooling pad with temperature control,LCP091,LCP-RGB-091,123456789091,Electronics,CoolTech,PIECES,0.8,38x28x4,Black,RGB,35,6,70,35.00,USD,59.99,USD,47.99,2024-01-01,2024-12-31,TechSupplier Inc,false,
Fresh Bell Peppers,Organic bell peppers in assorted colors,FP092,FP-ORG-092,123456789092,Food & Beverage,VeggieFresh,KILOGRAMS,0.7,20x15x10,Assorted,1kg,160,30,320,4.50,USD,7.99,USD,6.29,2024-01-01,2024-02-05,VeggieSupplier Ltd,true,2024-02-10
Kitchen Timer,Digital kitchen timer with magnetic back,KT093,KT-MAG-093,123456789093,Home & Garden,TimePro,PIECES,0.12,9x7x2,White,Magnetic,95,18,190,12.00,USD,19.99,USD,15.99,2024-01-01,2024-12-31,HomeSupplier Co,false,
Bluetooth Earbuds,True wireless Bluetooth earbuds with noise canceling,BE094,BE-NC-094,123456789094,Electronics,SoundWave,PIECES,0.08,7x5x2,Black,Noise Cancel,85,15,170,52.00,USD,89.99,USD,71.99,2024-01-01,2024-12-31,TechSupplier Inc,false,
Organic Bananas,Fresh organic bananas from sustainable farms,OB095,OB-ORG-095,123456789095,Food & Beverage,FruitFresh,KILOGRAMS,1.0,20x15x10,Yellow,1kg,420,80,840,2.50,USD,4.99,USD,3.89,2024-01-01,2024-01-25,FruitSupplier Ltd,true,2024-01-30
USB Flash Drive,128GB USB 3.1 flash drive with encryption,UF096,UF-128G-096,123456789096,Electronics,DataTech,PIECES,0.06,9x2x1,Black,128GB,90,15,180,28.00,USD,49.99,USD,39.99,2024-01-01,2024-12-31,TechSupplier Inc,false,
Fresh Tomatoes,Organic vine-ripened tomatoes from local farms,FT097,FT-ORG-097,123456789097,Food & Beverage,VeggieFresh,KILOGRAMS,1.0,25x20x15,Red,1kg,280,50,560,3.80,USD,6.99,USD,5.49,2024-01-01,2024-02-05,VeggieSupplier Ltd,true,2024-02-10
Kitchen Utensil Set,20-piece kitchen utensil set with holder,KUS098,KUS-20P-098,123456789098,Home & Garden,ChefPro,PIECES,2.2,40x25x18,Stainless Steel,20-piece,30,5,60,48.00,USD,79.99,USD,64.99,2024-01-01,2024-12-31,HomeSupplier Co,false,
Bluetooth Speaker,Portable Bluetooth speaker with subwoofer,BS099,BS-SUB-099,123456789099,Electronics,SoundWave,PIECES,0.9,22x18x18,Black,Subwoofer,45,8,90,55.00,USD,89.99,USD,71.99,2024-01-01,2024-12-31,TechSupplier Inc,false,
Organic Milk Chocolate,Organic milk chocolate with sea salt,OMC100,OMC-SEA-100,123456789100,Food & Beverage,ChocoMaster,KILOGRAMS,0.3,15x10x5,Brown,200g,180,35,360,14.50,USD,24.99,USD,19.99,2024-01-01,2024-12-31,ChocoSupplier Ltd,true,2024-12-31
